age_group,division,event_id,event_name,gender,name,nationality,roxzone_time,run1_time,run2_time,run3_time,run4_time,run5_time,run6_time,run7_time,run8_time,run_time,total_time,skiErg_time,sledPush_time,sledPull_time,burpeeBroadJump_time,rowErg_time,farmersCarry_time,sandbagLunges_time,wallBalls_time,work_time
35-39,open,JGDMS4JI8B2,2024 Amsterdam,female,"Heck, Nadine",GER,4.633333333333334,3.25,4.416666666666667,4.483333333333333,4.65,4.7,4.766666666666667,4.916666666666667,4.983333333333333,36.11666666666667,69.5,4.766666666666667,1.6833333333333333,4.05,4.166666666666667,4.8,1.7,3.566666666666667,4.1,28.833333333333332
40-44,open,JGDMS4JI8B2,2024 Amsterdam,female,"Thielen, Xenia",GER,4.416666666666667,3.283333333333333,4.633333333333334,4.6,4.716666666666667,4.816666666666666,4.783333333333333,4.866666666666666,5.283333333333333,36.9,71.28333333333333,4.533333333333333,2.05,4.333333333333333,4.316666666666666,5.05,1.7333333333333334,3.3833333333333333,4.633333333333334,30.033333333333335
35-39,open,JGDMS4JI8B2,2024 Amsterdam,female,"De Mol, Eva",NED,4.9,2.966666666666667,5.266666666666667,4.766666666666667,4.45,4.816666666666666,4.566666666666666,4.416666666666667,4.95,36.15,71.65,4.716666666666667,1.7833333333333334,3.716666666666667,4.066666666666666,5.25,1.5833333333333333,4.45,5.1,30.666666666666668
35-39,open,JGDMS4JI8B2,2024 Amsterdam,female,"Wright, Danielle",GBR,4.633333333333334,3.1333333333333333,4.966666666666667,5.033333333333333,5.25,5.116666666666666,4.85,5.066666666666666,5.3,38.63333333333333,71.98333333333333,4.35,1.5833333333333333,4.716666666666667,4.066666666666666,4.85,1.7333333333333334,3.7333333333333334,3.783333333333333,28.816666666666666
40-44,open,JGDMS4JI8B2,2024 Amsterdam,female,"Chernilovskaya, Anna",NED,4.683333333333334,3.316666666666667,4.833333333333333,4.9,5.15,5.45,5.516666666666667,5.433333333333334,5.716666666666667,40.266666666666666,72.38333333333334,4.7,1.7333333333333334,3.75,4.216666666666667,4.783333333333333,1.4666666666666666,2.9833333333333334,3.8333333333333335,27.466666666666665
35-39,open,JGDMS4JI8B2,2024 Amsterdam,female,"Lancaster, Charlene",GBR,4.883333333333334,3.1666666666666665,4.75,5.033333333333333,4.983333333333333,5.05,5.1,5.083333333333333,5.383333333333334,38.5,72.63333333333334,4.683333333333334,2.0166666666666666,4.316666666666666,3.5166666666666666,5.15,1.95,3.85,3.816666666666667,29.3
40-44,open,JGDMS4JI8B2,2024 Amsterdam,female,"Luykx, Mi-Choe",NED,4.6,3.283333333333333,4.65,4.766666666666667,4.8,4.966666666666667,4.9,4.883333333333334,5.033333333333333,37.25,73.4,4.95,1.8833333333333333,4.233333333333333,5.1,5.016666666666667,1.7333333333333334,3.3333333333333335,5.383333333333334,31.633333333333333
25-29,open,JGDMS4JI8B2,2024 Amsterdam,female,"Lichtert, Eline",BEL,4.483333333333333,5.5,5.1,5.066666666666666,5.033333333333333,5.183333333333334,4.983333333333333,4.983333333333333,5.1,40.86666666666667,73.78333333333333,4.533333333333333,1.9833333333333334,4.116666666666666,3.933333333333333,4.733333333333333,1.75,3.6166666666666667,3.8333333333333335,28.5
45-49,open,JGDMS4JI8B2,2024 Amsterdam,female,"Jong, Eefje",NED,4.75,3.433333333333333,4.65,5.066666666666666,5.183333333333334,5.333333333333333,5.55,5.3,5.65,40.1,74.4,4.433333333333334,1.35,3.5,4.483333333333333,4.7,1.6833333333333333,4.033333333333333,5.433333333333334,29.616666666666667
40-44,open,JGDMS4JI8B2,2024 Amsterdam,female,"Bartels, Gabrièl",NED,5.5,3.1,4.716666666666667,4.833333333333333,4.816666666666666,4.683333333333334,4.883333333333334,4.816666666666666,5.516666666666667,37.31666666666667,74.5,4.883333333333334,2.9,4.066666666666666,4.166666666666667,5.1,1.9833333333333334,3.7333333333333334,4.916666666666667,31.75
